1:ItNr	2:Metric	3a:Time	3b:StepSize	4:||Gradient||	Time[ms]
2387	-0.276108	47.597253	0.819255	0.022081	1.3
2388	-0.237415	48.322436	0.810685	0.019055	1.2
2389	-0.308939	48.501577	0.808596	0.022621	1.2
2390	-0.303810	47.560343	0.819696	0.015937	1.2
2391	-0.283275	48.556033	0.807963	0.038050	1.3
2392	-0.268815	47.946473	0.815106	0.029859	1.3
2393	-0.297259	46.995768	0.826503	0.022319	1.3
2394	-0.296814	46.050286	0.838157	0.028673	1.3
2395	-0.287475	45.111707	0.850056	0.042773	1.3
2396	-0.279972	46.111682	0.837390	0.027837	1.2
2397	-0.292035	45.209800	0.848797	0.021459	1.2
2398	-0.260320	44.488615	0.858144	0.051975	1.3
2399	-0.253898	45.239384	0.848418	0.011082	1.3
2400	-0.264565	44.292544	0.860721	0.023489	2.2
2401	-0.289260	44.527435	0.857636	0.017461	1.9
2402	-0.298633	43.585133	0.870149	0.017538	1.6
2403	-0.311967	42.665865	0.882713	0.016220	1.3
2404	-0.261438	42.727146	0.881864	0.044177	1.4
2405	-0.278659	43.727119	0.868240	0.069259	1.5
2406	-0.315532	42.776414	0.881183	0.067990	1.5
2407	-0.301795	43.776414	0.867579	0.039063	1.4
2408	-0.294849	44.776414	0.854389	0.034367	1.4
2409	-0.303420	43.825709	0.866920	0.022514	1.3
2410	-0.300080	44.821553	0.853804	0.026139	5.0
2411	-0.289192	44.176906	0.862248	0.028462	1.5
2412	-0.279102	43.226245	0.875011	0.018817	1.3
2413	-0.283836	44.226102	0.861598	0.028670	1.5
2414	-0.309989	45.105003	0.850142	0.011843	1.5
2415	-0.315916	44.886576	0.852961	0.050854	1.3
2416	-0.283826	43.936056	0.865446	0.067914	1.4
2417	-0.254085	44.922909	0.852491	0.064776	1.5
2418	-0.272852	43.972204	0.864965	0.053452	1.9
2419	-0.277182	44.972204	0.851854	0.048814	1.9
2420	-0.290039	44.021499	0.864309	0.020387	1.5
2421	-0.293587	45.019124	0.851248	0.043280	1.4
2422	-0.270969	45.684171	0.842759	0.043406	1.5
2423	-0.328026	44.733466	0.854948	0.011984	1.4
2424	-0.283429	43.783661	0.867482	0.042105	1.4
2425	-0.271415	43.847155	0.866633	0.036263	1.2
2426	-0.263686	44.553825	0.857291	0.041632	1.3
2427	-0.286479	45.553825	0.844409	0.094048	1.5
2428	-0.271749	46.553825	0.831910	0.022241	1.3
2429	-0.314336	47.553124	0.819783	0.047679	1.4
2430	-0.292722	48.537063	0.808183	0.008094	2.0
